sample_index,toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,pl_trandurh,pl_trandep,st_tmag,st_teff,st_rad,ra,dec,toi_created,rowupdate,label,search_status,spoc_120_available,n_sectors,group_fold,split,manifest_index,selected_sector,status,global_nan_count,local_nan_count,n_clean_points,global_interpolated_percent,local_interpolated_percent,max_interpolated_percent,sample_file
0,1064.01,79748331,CP,6.4438657,2458656.668478,1.9309449,1121.9512275,10.0059,4803.0,0.737189,296.003935,-47.56203,2019-08-16 20:20:42,2024-04-25 10:08:01,1,ok,True,6,6,train,0,13,cached,0,0,16591,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1064_01.npz
1,1064.02,79748331,CP,12.2265595,2458664.490132,2.1904379,1206.3693293,10.0059,4803.0,0.737189,296.003935,-47.56203,2019-08-16 20:20:42,2024-04-25 10:08:01,1,ok,True,6,6,train,1,13,success,0,0,16591,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1064_02.npz
2,1065.01,7088246,KP,2.1605155,2458654.345755,1.4806956,13774.8794619,13.2851,5780.0,1.2,286.36675,-50.06735,2019-08-16 20:20:41,2026-04-15 10:08:02,1,ok,True,4,19,test,2,13,success,0,0,17072,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1065_01.npz
3,1066.01,201604954,KP,4.606184,2458657.832537,3.121643,13793.034867,11.9707,5670.0,1.07,285.096517,-54.893341,2019-08-16 20:20:44,2021-10-29 12:59:15,1,ok,True,5,4,train,3,13,success,0,0,19378,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1066_01.npz
4,1067.01,201642601,KP,3.1316735,2458656.987874,2.4579197,14915.6943722,13.1686,4351.0,0.76701,288.672005,-59.57935,2019-08-16 20:20:44,2024-03-14 16:54:32,1,ok,True,7,2,train,4,13,success,0,0,19439,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1067_01.npz
5,1068.01,6663331,KP,3.180362,2458656.633231,2.111521,21192.463324,13.2887,5498.0,0.92,284.399762,-49.138513,2019-08-16 20:20:41,2021-10-29 12:59:15,1,ok,True,4,19,test,5,13,success,0,0,16648,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1068_01.npz
6,1069.01,31858843,KP,2.9776446,2460147.378764,2.962,13022.0,10.4293,5703.0,1.22,289.479212,-32.860124,2019-08-16 20:20:41,2023-10-16 16:02:02,1,ok,True,5,7,train,6,13,success,0,0,17047,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1069_01.npz
7,107.01,92352620,KP,3.9502008,2460176.993334,4.444,13914.0,9.6433,6153.0,1.71,313.783239,-34.135751,2018-09-05 18:49:20,2023-11-15 16:02:02,1,ok,True,5,6,train,7,1,success,0,0,18181,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_107_01.npz
8,1070.01,31858844,FP,2.9776152,2458655.579241,3.25697,43218.111683,15.7114,5740.0,1.28,289.478541,-32.861327,2019-08-16 20:20:41,2021-10-29 12:59:15,0,ok,True,2,2,train,8,13,success,0,0,17046,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1070_01.npz
9,1071.01,120247528,KP,3.5544026,2458655.394059,2.0550535,10164.8753396,11.5803,5639.0,1.11499,280.184169,-58.459388,2019-08-16 20:20:42,2025-08-29 16:00:02,1,ok,True,6,4,train,9,13,success,0,0,19438,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1071_01.npz
10,1072.01,140830390,FP,12.8379689,2459211.732146,9.8464123,10539.0192794,11.7106,5765.0,2.4494,75.627307,-72.913998,2019-08-16 20:20:43,2021-10-29 12:59:15,0,ok,True,32,8,train,10,11,success,18,0,14293,8.955223880597014,0.0,8.955223880597014,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1072_01.npz
11,1073.01,158297421,CP,3.9228016,2459036.472812,1.8736007,31510.9004906,13.6699,4444.0,0.6983,287.484402,-49.664942,2019-08-16 20:20:43,2021-12-09 10:10:02,1,ok,True,5,15,validation,11,13,success,0,0,16626,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1073_01.npz
12,1075.01,351601843,CP,0.6047392,2458654.249503,1.0403847,1027.6833479,11.1186,4046.0,0.580337,309.971209,-65.449699,2019-08-16 20:20:48,2024-09-09 10:08:01,1,ok,True,8,10,train,12,13,success,0,0,13881,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1075_01.npz
13,1076.01,360742636,KP,2.5495611,2458654.163257,2.6173308,14921.4021936,11.2474,5659.0,1.03997,294.633694,-55.330269,2019-08-16 20:20:48,2024-09-09 10:08:01,1,ok,True,5,12,train,13,13,success,0,0,19110,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1076_01.npz
14,1000.01,50365310,FP,2.1713484,2459229.630046,2.0172196,656.8860989,9.604,10249.0,2.16986,112.357708,-12.69596,2019-07-24 15:58:33,2024-09-09 10:08:01,0,ok,True,1,14,validation,14,34,success,0,0,16900,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1000_01.npz
15,1002.01,124709665,FP,1.8675574,2459224.687802,1.408,1500.0,9.299501,8924.0,5.73,104.726966,-10.580455,2019-07-24 15:58:33,2022-07-11 16:02:02,0,ok,True,1,12,train,15,33,success,0,0,17458,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1002_01.npz
16,1003.01,106997505,FP,2.74323,2458493.3957,3.167,383.41,9.3003,5388.5,,110.559945,-25.207017,2019-07-24 15:58:33,2022-02-23 10:10:02,0,ok,True,1,0,train,16,34,success,0,0,16796,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1003_01.npz
17,1004.01,238597883,FP,3.5730141,2459987.047262,3.37,755.0,9.1355,9219.0,2.15,122.178195,-48.802811,2019-07-24 15:58:33,2024-09-09 10:08:01,0,ok,True,1,11,train,17,34,success,0,0,16956,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1004_01.npz
18,1005.01,169904935,FP,4.5505945,2459985.156855,2.654,3731.0,9.1309,5613.0,1.09,120.704811,-11.101521,2019-07-24 15:58:33,2025-07-08 10:08:01,0,ok,True,1,18,test,18,34,success,0,0,16900,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1005_01.npz
19,1006.01,156115721,FP,2.5047918,2459229.984579,4.3797563,2270.5402194,9.2386,6616.0,1.53429,124.359239,-27.273521,2019-07-24 15:58:33,2021-10-29 12:59:15,0,ok,True,1,11,train,19,34,success,0,0,16912,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1006_01.npz
20,1008.01,440801822,FP,2.0483755,2460258.236122,2.767,483.0,8.9362,6858.5,1.57,109.382839,13.395219,2019-07-24 15:58:33,2023-12-08 16:02:02,0,ok,True,4,15,validation,20,33,success,0,0,17458,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1008_01.npz
21,101.01,231663901,KP,1.4303699,2458326.009117,1.6165994,18960.7122944,12.4069,5600.0,0.890774,318.737012,-55.871863,2018-09-05 18:49:20,2024-09-06 10:08:02,1,ok,True,9,10,train,21,1,success,0,0,18276,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_101_01.npz
22,1010.01,139853601,FP,0.6808702,2459228.878101,2.4634563,1507.8006889,8.45086,9438.0,1.0,112.293981,-21.832912,2019-07-24 15:58:33,2021-10-29 12:59:15,0,ok,True,1,14,validation,22,34,success,0,0,16809,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1010_01.npz
23,1013.01,97700520,FP,5.4255548,2459232.248322,3.9637474,14939.6342222,7.6095,8868.7,,107.286063,-31.933523,2019-07-24 15:58:33,2021-10-29 12:59:15,0,ok,True,2,4,train,23,33,success,0,0,17453,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1013_01.npz
24,1014.01,96246348,FP,1.4095184,2459985.657041,0.9484999,2841.5103258,7.678,9307.0,,103.561602,-34.22282,2019-07-24 15:58:33,2023-11-20 10:08:02,0,ok,True,3,6,train,24,33,success,0,0,17453,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1014_01.npz
25,1015.01,155044736,FP,1.3730466,2459963.610065,2.5708515,1301.5065338,10.7069,4897.0,6.7996101,122.895964,-27.971896,2019-04-01 16:51:56,2023-12-20 16:02:19,0,ok,True,2,6,train,25,34,success,0,0,16896,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1015_01.npz
26,1016.01,175310067,FP,12.6889415,2459238.831138,7.9201001,3232.8527885,10.6257,7601.0,1.53641,116.110771,-36.098285,2019-04-01 16:52:03,2024-09-09 10:08:01,0,ok,True,1,15,validation,26,34,success,4,0,16950,1.9900497512437811,0.0,1.9900497512437811,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1016_01.npz
27,1017.01,182943944,FP,1.10422,2458518.96536,2.37,14177.7,10.6019,6995.2,1.61,124.726411,-37.78325,2019-07-24 17:08:12,2021-10-29 12:59:15,0,ok,True,2,4,train,27,34,success,0,0,16941,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1017_01.npz
28,1018.01,291555748,FP,4.95912,2458492.78078,2.509,7440.0,10.6254,5889.0,2.0,111.716019,-50.266567,2019-04-01 16:52:01,2021-10-29 12:59:15,0,ok,True,3,10,train,28,33,success,0,0,17457,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1018_01.npz
29,102.01,149603524,KP,4.4119372,2460982.065462,3.6321285,14711.8810303,9.7109,6280.0,1.21,87.139821,-63.988329,2019-05-07 17:42:37,2026-04-17 10:08:01,1,ok,True,38,0,train,29,1,success,0,0,18278,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_102_01.npz
30,1020.01,140706664,FP,3.28892,2458521.29108,3.793,10518.9,10.7173,8734.2,,128.381976,-43.828421,2019-07-24 17:08:12,2021-10-29 12:59:15,0,ok,True,1,16,validation,30,35,success,0,0,13780,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1020_01.npz
31,1021.01,143994283,FP,1.90879,2458492.90429,1.909,618.482,10.5551,6022.6,1.22,119.30075,-42.999149,2019-07-24 17:08:12,2021-10-29 12:59:15,0,ok,True,2,1,train,31,34,success,0,0,16939,0.0,0.0,0.0,c:\Users\user\Documents\HSFlensburgMaster\Sommersemester2026\AdvancedDeepLearning\Projekt\Exoplanets\data\interim\spoc120_dataset_generation\samples\toi_1021_01.npz
